seqTech	sizeFrac	capDesign	sampleRep	n	median	mean	max
ONT	0+	Post	2-4Cell-noSS500Rep1	6652415	1088	1311.6618146943629	19724
ONT	0+	Post	2-4CellRep1	10108536	1165	1364.5536483225662	214171
ONT	0+	Post	2-4Cell-TSORep1	12079748	1253	1468.7242317472185	83336
ONT	0+	Post	28hpf-noSS500Rep1	6875379	837	1056.1591877335054	32592
ONT	0+	Post	28hpfRep1	10533202	1358	1586.382094827385	42093
ONT	0+	Post	28hpf-TSORep1	16680162	1020	1263.7935468492453	133645
ONT	0+	Post	BrainRep1	20135036	1050	1184.1362284626657	53366
ONT	0+	Post	Heart-noSS500Rep1	13617774	1046	1279.8561829561866	487930
ONT	0+	Post	HeartRep1	10747833	1625	1754.2920957182719	204962
ONT	0+	Post	Heart-TSORep1	7759263	1059	1326.1293970832023	395076
ONT	0+	Post	LiverRep1	14228725	1230	1477.2907254866477	122139
ONT	0+	Post	OvaryRep1	9416355	988	1188.4099437627406	157219
ONT	0+	Post	ShieldRep1	5850768	1396	1533.8535795642556	90627
ONT	0+	Post	Testis-noSS500Rep1	9084109	812	997.0755195693931	46162
ONT	0+	Post	TestisRep1	9718895	939	1117.852284338909	23030
ONT	0+	Post	Testis-TSORep1	5612049	1036	1228.4178701932217	16445
ONT	0+	Pre	2-4Cell-noSS500Rep1	6652415	1088	1311.6618146943629	19724
ONT	0+	Pre	2-4CellRep1	13344507	1070	1274.0987172474786	151188
ONT	0+	Pre	2-4Cell-TSORep1	12079748	1253	1468.7242317472185	83336
ONT	0+	Pre	28hpf-noSS500Rep1	6875379	837	1056.1591877335054	32592
ONT	0+	Pre	28hpfRep1	6939532	1063	1255.9965529375756	136082
ONT	0+	Pre	28hpf-TSORep1	16680162	1020	1263.7935468492453	133645
ONT	0+	Pre	BrainRep1	11784836	1052	1218.7763332472339	34324
ONT	0+	Pre	Heart-noSS500Rep1	13617774	1046	1279.8561829561866	487930
ONT	0+	Pre	HeartRep1	12213734	1036	1244.9691465361861	32553
ONT	0+	Pre	Heart-TSORep1	7759263	1059	1326.1293970832023	395076
ONT	0+	Pre	LiverRep1	14029575	972	1190.4212300087493	46049
ONT	0+	Pre	OvaryRep1	9797815	1080	1265.0740169109133	23227
ONT	0+	Pre	ShieldRep1	11545508	996	1192.2075421887023	60904
ONT	0+	Pre	Testis-noSS500Rep1	9084109	812	997.0755195693931	46162
ONT	0+	Pre	TestisRep1	11846421	893	1039.9736587109305	14297
ONT	0+	Pre	Testis-TSORep1	5612049	1036	1228.4178701932217	16445
